"ECOREGION","REGION_NAM","REGION_NOM"
1,"Ellesmere and Devon Island IceCaps","Calottes glacières Ellesmere et Devon"
5,"Baffin Mountains","Chaîne de Baffin"
6,"Baffin Islands Coastal Lowlands","Basses terres des côtes de l'île de Baffin"
7,"Torngat Mountains","Est de la chaîne Tornga"
8,"Ellesmere Mountains","Chaîne Ellesmere"
9,"Eureka Hills","Collines Eureka"
11,"Sverdrup Islands Lowland","Basses terres de Sverdrup"
12,"Parry Islands Plateau","Plateau de Parry"
13,"Lancaster Plateau","Plateau de Lancaster"
14,"Banks Island Coastal Plain","Plaine côtière de l'île Banks"
15,"Banks Island Lowland","Basses terres de l'île Banks"
16,"Amundsen Gulf Lowlands","Basses terres du golfe Amundsen"
17,"Shaler Mountains","Monts Shaler"
18,"Victoria Islands Lowland","Basses terres de l'île Victoria"
19,"Prince of Wales Island Lowland","Basses terres de l'île Prince-de-Galles"
20,"Boothia Peninsula Plateau","Plateau de la presqu'île Boothia"
21,"Gulf of Boothia Plain","Plaine du golfe de Boothia"
22,"Borden Peninsula Plateau","Plateau de la péninsule Borden"
23,"Melville Peninsula Plateau","Plateau de la presqu'île Melville"
24,"Baffin Island Uplands","Hautes terres de l'île Baffin"
25,"Foxe Basin Plain","Plaine du bassin de la riviére Foxe"
26,"Pangnirtung Upland","Hautes terres de Pangnirtung"
27,"Hall Peninsula Upland","Bas-plateau de la péninsule Hall"
28,"Meta Incognita Peninsula","Péninsule Meta Incognita"
29,"Baffin Upland","Bas-plateau de Baffin"
30,"Wager Bay Plateau","Plateau de la baie Wager"
31,"Northern Ungava Peninsula","Nord de la péninsule d'Ungava"
32,"Yukon Coastal Plain","Plaine côtière du Yukon"
33,"Tuktoyuktuk Coastal Plain","Plaine côtière Tuktoyaktuk"
34,"Anderson River Plain","Plaine de la rivière Anderson"
35,"Dease Arm Plain","Plaine Dease Arms"
36,"Coronation Hills","Collines Coronation"
37,"Bluenose Lake Plain","Plaine du lac Bluenose"
38,"Bathurst Hills","Collines de Bathurst"
39,"Queen Maud Gulf Lowland","Basses terres du golf Queen Maud"
40,"Chantrey Inlet Lowland","Basses terres de Chantrey Inlet"
41,"Takijua Lake Upland","Hautes terres du lac Takijua"
42,"Garry Lake Lowland","Basses terres du lac Garry"
43,"Back River Plain","Plaine de la rivière Back"
44,"Dubawnt Lake Plain/Upland","Plaine et hautes terres du lac Dubawnt"
45,"Maguse River Upland","Hautes terres de la rivière Maguse"
46,"Southampton Island Plain","Plaine de l'île Southampton"
47,"Central Ungava Peninsula","Centre de la péninsule d'Ungava"
48,"Ottawa Islands","Iles Ottawa"
49,"Belcher Islands","Iles Belcher"
50,"Mackenzie Delta","Delta du Mackenzie"
51,"Peel River Plateau","Plateau de la rivière Peel"
52,"Great Bear Lake Plain","Plaine du Grand lac des Esclaves"
53,"Fort MacPherson Plain","Plaine Fort MacPherson"
54,"Colville Hills","Collines de Colville"
55,"Norman Range","Chaîne Norman"
56,"Mackenzie River Plain","Plaine du Mackenzie"
57,"Grandin Plains","Plaines Grandin"
58,"Franklin Mountains","Monts Franklin"
59,"Keller Lake Plain","Plaine du lac Keller"
60,"Great Slave Lake Plain","Plaine du Grand lac des Esclaves"
61,"Nahanni Plateau","Plateau de la Nahanni"
62,"Sibbeston Lake Plain","Plaine du lac Sibbeston"
63,"Horn Plateau","Plateau Horn"
64,"Hay River Lowland","Basses terres de la rivière Hay"
65,"Northern Alberta Uplands","Hautes terres du nord de l'Alberta"
66,"Muskwa Plateau","Plateau Muskwa"
68,"Coppermine River Upland","Hautes terres de la rivière Coppermine"
69,"Tazin Lake Upland","Hautes terres du lac Tazin"
70,"Kazan River Upland","Hautes terres de la rivière Kazan"
71,"Selwyn Lake Upland","Hautes terres du lac Selwyn"
72,"La Grande Hills","Collines La Grande"
73,"Southern Ungava Peninsula","Sud de la péninsule d'Ungava"
74,"New Quebec Central Plateau","Plateau central du Nouveau-Québec"
75,"Ungava Bay Basin","Bassin de la baie d'Ungava"
76,"George Plateau","Plateau de la George"
77,"Kingarutuk-Fraser River","Rivières Kingarutuk et fleuve Fraser"
78,"Smallwood Reservoir-Michikamau","Réservoir Smallwood et Michikamau"
79,"Coastal Barrens","Terres arides côtières"
80,"Mecatina River","Rivière Mécatina"
82,"Eagle Plateau","Plateau Eagle"
84,"Harp Lake","Nord du lac Winokapau"
85,"Nipishish Lake","Ouest de la rivière Goose"
87,"Athabasca Plain","Plaine de l'Athabasca"
88,"Churchill River Upland","Hautes terres de la rivière Churchill"
89,"Hayes River Upland","Hautes terres de la rivière Hayes"
90,"Lac Seul Upland","Hautes terres du lac Seul"
91,"Lake of the Woods","Lac des Bois"
92,"Rainy River","Rivière à la pluie"
93,"Thunder Bay-Quetico","Thunder Bay-Quetico"
94,"Lake Nipigon","Lac Nipigon"
95,"Big Trout Lake","Lac Big Trout"
96,"Abitibi Plains","Plaines de l'Abitibi"
97,"Lac Temiscamingue Lowland","Basses terres du lac Temiscamingue"
98,"Algonquin-Lake Nipissing","Algonquin-lac Nipissing"
99,"Southern Laurentians","Sud des Laurentides"
100,"Riviere Rupert Plateau","Plateau de la rivière Rupert"
101,"Central Laurentians","Centre des Laurentides"
102,"Anticosti Island","Île d'Anticosti"
103,"Mecatina Plateau","Plateau de la Mécatina"
104,"Paradise River","Rivière Paradise"
105,"Lake Melville","Lac Melville"
106,"Strait of Belle Isle","Détroit de Belle Isle"
107,"Northern Penninsula","Péninsule Northern"
108,"Long Range Mountains","Chaîne Long Range"
109,"Southwestern Newfoundland","Sud-ouest de Terre Neuve"
112,"Central Newfoundland","Centre de Terre-Neuve"
113,"Northeastern Newfoundland","Nord-est de Terre-Neuve"
114,"Maritime Barrens","Terres arides des Maritimes"
115,"Avalon Forest","Forêt d'Avalon"
116,"South Avalon-Burin Oceanic Barrens","Terres arides océaniques du sud d'Avalon-Burin"
117,"Appalachians","Appalaches"
118,"Northern New Brunswick Highlands","Hautes terres du nord du Nouveau-Brunswick"
119,"New Brunswick Highlands","Hautes terres du Nouveau-Brunswick"
120,"Saint John River Valley","Vallée de la rivière Saint-Jean"
121,"Southern New Brunswick Uplands","Hautes terres du sud du Nouveau-Brunswick"
122,"Maritime Lowlands","Basses terres des Maritimes"
123,"Fundy Coast","Côte de la baie de Fundy"
124,"Southwest Nova Scotia Uplands","Hautes terres du sud-ouest de la Nouvelle-Écosse"
125,"Atlantic Coast","Côte de l'Atlantique"
126,"Annapolis-Minas Lowlands","Basses terres d'Annapolis-Minas"
127,"South-central Nova Scotia Uplands","Hautes terres du sud central de la Nouvelle-Écosse"
128,"Nova Scotia Highlands","Hautes terres de la Nouvelle-Écosse"
129,"Cape Breton Highlands","Hautes terres du Cap-Breton"
130,"Prince Edward Island","Ile-du-Prince-Édouard"
131,"Iles-de-la-Madeleine","Iles-de-la-Madeleine"
132,"St-Laurent Lowlands","Basses terres du fleuve Saint-Laurent"
133,"Frontenac Axis","Arche de Frontenac"
134,"Manitoulin-Lake Simcoe","Manitoulin-Lac Simcoe"
135,"Lake Erie Lowland","Basses terres du lac Érié"
136,"Slave River Lowland","Basses terres de la rivière des Esclaves"
137,"Clear Hills Upland","Hautes terres des collines Clear"
138,"Peace Lowland","Basses terres de la rivière de la Paix"
139,"Mid-Boreal Uplands","Hautes terres boréales du Centre"
142,"Wabasca Lowland","Basses terres Wabasca"
143,"Western Boreal","Terres boréales de l'Ouest"
145,"Western Alberta Upland","Hautes terres de l'ouest de l'Alberta"
148,"Mid-Boreal Lowland","Basses terres boréales du Centre"
149,"Boreal Transition","Transition boréale"
155,"Interlake Plain","Plaine interlacustre"
156,"Aspen Parkland","Prairie-parc à trembles"
157,"Moist Mixed Grassland","Prairies mixtes humides"
158,"Fescue Grassland","Prairies à fétuques"
159,"Mixed Grassland","Prairies mixtes"
160,"Cypress Upland","Hautes terres du Cyprès"
162,"Lake Manitoba Plain","Plaine du lac Manitoba"
163,"Southwest Manotoba Uplands","Hautes terres du sud-ouest du Manitoba"
165,"British-Richardson Mountains","Monts British-Monts Richardson"
166,"Old Crow Basin","Bassin de la rivière Old Crow"
167,"Old Crow Flats","Plaines Old Crow"
168,"North Ogilvie Mountains","Nord des monts Ogilvie"
169,"Eagle Plains","Plaine Eagle"
170,"Mackenzie Mountains","Monts Mackenzie"
171,"Selwynn Mountains","Chaîne Selwyn"
172,"Klondike Plateau","Plateau Klondike"
173,"St.Elias Mountains","Chaîne St. Elias"
174,"Ruby Ranges","Chaîne Ruby"
175,"Yukon Plateau-Central","Centre du plateau du Yukon"
176,"Yukon Plateau-North","Nord du plateau du Yukon"
177,"Yukon Southern Lakes","Lacs du sud du Yukon"
178,"Pelly Mountains","Monts Pelly"
179,"Yukon-Stikine Highlands","Hautes terres de Stikine-Yukon"
180,"Boreal Mountains and Plateaus","Plateaux et chaînes boréales"
181,"Liard Basin","Bassin de la rivière Liard"
182,"Hyland Highland","Hautes terres de Hyland"
183,"Northern Canadian Rocky Mountains","Nord des Rocheuses canadiennes"
184,"Mount Logan","Mont Logan"
185,"Northern Coastal Mountains","Nord de la chaîne cotière"
187,"Nass Basin","Bassin de la rivière Nass"
188,"Queen Charlotte Ranges","Chaînons des îles Reine-Charlotte"
189,"Queen Charlotte Lowland","Basses terres de la Reine-Charlotte"
190,"Nass Ranges","Chaîne Mass"
191,"Coastal Gap","Coastal Gap"
192,"Pacific Ranges","Chaînes du Pacifique"
193,"Western Vancouver Island","Ouest de l'île de Vancouver"
194,"Eastern Vancouver Island","Est de l'île de Vancouver"
195,"Georgia-Puget Basin","Bassin des rivières Georgia et Puget"
196,"Lower Mainland","Lower Mainland"
197,"Cascade Ranges","Chaînons Cascade"
198,"Skeena Mountains","Chaîne Skeena"
199,"Omineca Mountains","Chaîne Omenica"
200,"Central Canadian Rocky Mountains","Centre des Rocheuses canadiennes"
201,"Bulkley Ranges","Chaînons Bulkley"
202,"Fraser Plateau","Plateau du Fraser"
203,"Fraser Basin","Bassin du fleuve Fraser"
204,"Chilcotin Ranges","Chaînons Chilcotin"
205,"Columbia Mountains and Highlands","Hautes terres du Columbia et chaîne Columbia"
206,"Western Continental Ranges","Ouest de la chaîne Continental"
207,"Eastern Continental Ranges","Est de la chaîne Continental"
208,"Interior Transition Ranges","Chaîne de transition intérieure"
209,"Thompson-Okanagan Plateau","Plateau Thompson-Okanagan"
210,"Okanogan Range","Chaînons Okanogan"
211,"Okanogan Highland","Hautes terres de l'Okanogan"
212,"Selkirk-Bitterroot Foothills","Contreforts Selkirk-Bitterroot"
213,"Southern Rocky Mountain Trench","Sillon des Rocheuses du Sud"
214,"Northern Continental Divide","Nord de la ligne de partage de la chaîne Continental"
215,"Coastal Hudson Bay Lowland","Basses terres des côtes de la baie d'Hudson"
216,"Hudson Bay Lowland","Basses terres de la baie d'Hudson"
