"ID","OBJECTID","PSPU_ID","ProvinceID","ProvinceNa","ProjectID","ProjectNam","EcoBoundar","EcoBound_1","AdminBound","AdminBou_1","NFCMARS_Ad","Reconcilia","SPUGROUPID","ManagedFor","Shape_Leng","Shape_Area"
1,1,0,1,"Newfoundland",0,NA,17,"Boreal Shield East",19,"Gros Morne National Park of Canada","Gros Morne National Park of Canada",1,0,"Managed Forest",412673.718732,1788365552.23
2,2,0,2,"Labrador",116,"UF",1,"Arctic Cordillera",8,"Non Managed Forest","Non Managed Forest",2,0,"Non Managed Forest",2966290.25621,9261211777.72
3,3,0,2,"Labrador",116,"UF",1,"Arctic Cordillera",9,"Torngat Mountains National Park Reserve of Canada","Torngat Mountains National Park Reserve of Canada",2,0,"Non Managed Forest",1993712.34224,9459273247.86
4,4,0,2,"Labrador",116,"UF",16,"Taiga Shield East",2,"19b","19b",3,0,"Non Managed Forest",1511703.56585,26214045055.3
5,5,0,2,"Labrador",116,"UF",16,"Taiga Shield East",3,"19c","19c",3,0,"Non Managed Forest",1104931.47877,19540302889.5
6,6,0,2,"Labrador",116,"UF",16,"Taiga Shield East",6,"22","22",3,0,"Non Managed Forest",2350380.10649,78858162310.2
7,7,0,2,"Labrador",116,"UF",16,"Taiga Shield East",7,"23","23",3,0,"Non Managed Forest",2346762.87373,19923975191.6
8,8,0,2,"Labrador",116,"UF",16,"Taiga Shield East",8,"Non Managed Forest","Non Managed Forest",3,0,"Non Managed Forest",6185474.72565,58940871714.4
9,9,0,2,"Labrador",116,"UF",17,"Boreal Shield East",2,"19b","19b",4,0,"Non Managed Forest",858466.897343,3481569578.71
10,10,0,2,"Labrador",116,"UF",17,"Boreal Shield East",3,"19c","19c",4,0,"Non Managed Forest",484924.341145,1530910343.95
11,11,0,2,"Labrador",116,"UF",17,"Boreal Shield East",6,"22","22",4,0,"Non Managed Forest",729987.748386,2072878170.33
12,12,0,2,"Labrador",116,"UF",17,"Boreal Shield East",7,"23","23",4,0,"Non Managed Forest",1660738.79228,8079759521.89
13,13,0,6,"Quebec",116,"UF",1,"Arctic Cordillera",129,"Non Managed Forest","Non Managed Forest",8,0,"Non Managed Forest",1805925.01084,13562049508.5
14,14,0,6,"Quebec",116,"UF",2,"Northern Arctic",129,"Non Managed Forest","Non Managed Forest",9,0,"Non Managed Forest",1723006.27811,36689581787.4
15,15,0,6,"Quebec",116,"UF",3,"Southern Arctic",129,"Non Managed Forest","Non Managed Forest",10,0,"Non Managed Forest",4194258.6745,154323427347
16,16,0,6,"Quebec",116,"UF",7,"Atlantic Maritime",129,"Non Managed Forest","Non Managed Forest",11,0,"Non Managed Forest",338232.533812,231942263.529
17,17,0,6,"Quebec",116,"UF",15,"Hudson Plains",129,"Non Managed Forest","Non Managed Forest",13,0,"Non Managed Forest",1753133.59855,37299747378.5
18,18,0,6,"Quebec",116,"UF",16,"Taiga Shield East",129,"Non Managed Forest","Non Managed Forest",14,0,"Non Managed Forest",9974014.95023,528856435522
19,19,0,6,"Quebec",116,"UF",17,"Boreal Shield East",129,"Non Managed Forest","Non Managed Forest",15,0,"Non Managed Forest",10126983.9181,199725816435
20,20,0,7,"Ontario",116,"UF",6,"Boreal Shield West",51,"Non Managed Forest","Non Managed Forest",16,0,"Non Managed Forest",2144969.56797,151126432005
21,21,0,7,"Ontario",116,"UF",15,"Hudson Plains",51,"Non Managed Forest","Non Managed Forest",18,0,"Non Managed Forest",3324478.11068,256900680262
22,22,0,7,"Ontario",116,"UF",17,"Boreal Shield East",51,"Non Managed Forest","Non Managed Forest",16,0,"Non Managed Forest",299402.887343,2193972379.95
23,23,0,8,"Manitoba",116,"UF",3,"Southern Arctic",50,"Non Managed Forest","Non Managed Forest",20,0,"Non Managed Forest",458043.626205,1405653902.11
24,24,0,8,"Manitoba",116,"UF",5,"Taiga Shield West",50,"Non Managed Forest","Non Managed Forest",21,0,"Non Managed Forest",1988364.32435,130749892222
25,25,0,8,"Manitoba",116,"UF",6,"Boreal Shield West",50,"Non Managed Forest","Non Managed Forest",22,0,"Non Managed Forest",2979885.06309,123232661623
26,26,0,8,"Manitoba",116,"UF",15,"Hudson Plains",50,"Non Managed Forest","Non Managed Forest",25,0,"Non Managed Forest",2036954.65723,59660905045.7
27,27,0,8,"Manitoba",116,"UF",15,"Hudson Plains",52,"Wapusk National Park of Canada","Wapusk National Park of Canada",25,0,"Non Managed Forest",539303.826804,10652852926.1
28,28,0,9,"Saskatchewan",116,"UF",5,"Taiga Shield West",21,"Non Managed Forest","Non Managed Forest",26,0,"Non Managed Forest",1742770.1942,49494352823.9
29,29,0,9,"Saskatchewan",116,"UF",6,"Boreal Shield West",21,"Non Managed Forest","Non Managed Forest",27,0,"Non Managed Forest",1914820.96013,97276060847.8
30,30,0,9,"Saskatchewan",116,"UF",9,"Boreal Plains",21,"Non Managed Forest","Non Managed Forest",28,0,"Non Managed Forest",263187.975196,1921380068.09
31,31,0,12,"Yukon",116,"UF",3,"Southern Arctic",0,"Non Managed Forest","Non Managed Forest",43,0,"Non Managed Forest",474346.237825,2430134446.06
32,32,0,12,"Yukon",116,"UF",3,"Southern Arctic",10,"Ivvavik National Park of Canada","Ivvavik National Park of Canada",43,0,"Non Managed Forest",483600.283336,2438960257.54
33,33,0,12,"Yukon",116,"UF",4,"Taiga Plains",0,"Non Managed Forest","Non Managed Forest",44,0,"Non Managed Forest",1165859.41234,17691279770.4
34,34,0,12,"Yukon",116,"UF",11,"Taiga Cordillera",0,"Non Managed Forest","Non Managed Forest",45,0,"Non Managed Forest",3456203.53838,140721672652
35,35,0,12,"Yukon",116,"UF",11,"Taiga Cordillera",9,"Vuntut National Park of Canada","Vuntut National Park of Canada",45,0,"Non Managed Forest",600194.856304,4441439862.34
36,36,0,12,"Yukon",116,"UF",11,"Taiga Cordillera",10,"Ivvavik National Park of Canada","Ivvavik National Park of Canada",45,0,"Non Managed Forest",443075.457845,7268844419.99
37,37,0,12,"Yukon",116,"UF",12,"Boreal Cordillera",0,"Non Managed Forest","Non Managed Forest",46,0,"Non Managed Forest",5393366.36988,88772812601.5
38,38,0,13,"Northwest Territories",116,"UF",2,"Northern Arctic",3,"Aulavik National Park of Canada","Aulavik National Park of Canada",48,0,"Non Managed Forest",678990.546937,12090448329.4
39,39,0,13,"Northwest Territories",116,"UF",2,"Northern Arctic",20,"Non Managed Forest","Non Managed Forest",48,0,"Non Managed Forest",11853276.4541,199307821820
